constructorResultsId,raceId,constructorId,points,status
16388,1067,3,0,\N
16389,1067,210,0,\N
16390,1069,9,40,\N
16391,1069,131,27,\N
16392,1069,6,18,\N
16393,1069,1,14,\N
16394,1069,213,2,\N
16395,1069,117,1,\N
16396,1069,51,0,\N
16397,1069,3,0,\N
16398,1069,210,0,\N
16399,1069,214,0,\N
16400,1070,9,40,\N
16401,1070,131,18,\N
16402,1070,213,12,\N
16403,1070,6,18,\N
16404,1070,117,6,\N
16405,1070,51,4,\N
16406,1070,214,2,\N
16407,1070,1,1,\N
16408,1070,3,0,\N
16409,1070,210,0,\N
16410,1071,131,43,\N
16411,1071,9,33,\N
16412,1071,6,19,\N
16413,1071,213,6,\N
16414,1071,214,6,\N
16415,1071,1,1,\N
16416,1071,117,0,\N
16417,1071,51,0,\N
16418,1071,3,0,\N
16419,1071,210,0,\N
16420,1051,131,25,\N
16421,1051,9,31,\N
16422,1051,214,25,\N
16423,1051,117,9,\N
16424,1051,6,10,\N
16425,1051,1,2,\N
16426,1051,213,0,\N
16427,1051,51,0,\N
16428,1051,210,0,\N
16429,1051,3,0,\N
16430,1072,131,41,\N
16431,1072,9,18,\N
16432,1072,214,12,\N
16433,1072,1,11,\N
16434,1072,213,8,\N
16435,1072,6,10,\N
16436,1072,51,2,\N
16437,1072,117,0,\N
16438,1072,3,0,\N
16439,1072,210,0,\N
16440,1073,9,26,\N
16441,1073,131,26,\N
16442,1073,6,16,\N
16443,1073,213,22,\N
16444,1073,1,6,\N
16445,1073,214,6,\N
16446,1073,117,0,\N
16447,1073,210,0,\N
16448,1073,3,0,\N
16449,1073,51,0,\N
16450,1074,6,44,\N
16451,1074,131,27,\N
16452,1074,210,10,\N
16453,1074,51,9,\N
16454,1074,214,8,\N
16455,1074,213,4,\N
16456,1074,117,0,\N
16457,1074,3,0,\N
16458,1074,1,0,\N
16459,1074,9,0,\N
16460,1075,9,37,\N
16461,1075,6,34,\N
16462,1075,131,11,\N
16463,1075,214,8,\N
16464,1075,1,6,\N
16465,1075,213,4,\N
16466,1075,210,2,\N
16467,1075,51,0,\N
16468,1075,117,0,\N
16469,1075,3,0,\N
16470,1076,6,26,\N
16471,1076,9,18,\N
16472,1076,131,27,\N
16473,1076,1,18,\N
16474,1076,214,6,\N
16475,1076,51,4,\N
16476,1076,213,2,\N
16477,1076,3,1,\N
16478,1076,117,0,\N
16479,1076,210,0,\N
16480,1077,9,58,\N
16481,1077,1,22,\N
16482,1077,131,12,\N
16483,1077,51,12,\N
16484,1077,6,20,\N
16485,1077,213,6,\N
16486,1077,117,5,\N
16487,1077,210,3,\N
16488,1077,3,0,\N
16489,1077,214,0,\N
16490,1078,9,38,\N
16491,1078,6,33,\N
16492,1078,131,18,\N
16493,1078,51,6,\N
16494,1078,214,4,\N
16495,1078,3,2,\N
16496,1078,117,1,\N
16497,1078,213,0,\N
16498,1078,1,0,\N
16499,1078,210,0,\N
16500,1079,9,44,\N
16501,1079,131,25,\N
16502,1079,6,12,\N
16503,1079,51,8,\N
16504,1079,214,8,\N
16505,1079,1,4,\N
16506,1079,213,1,\N
16507,1079,117,0,\N
16508,1079,210,0,\N
16509,1079,3,0,\N
16510,1080,9,40,\N
16511,1080,6,30,\N
16512,1080,131,14,\N
16513,1080,1,9,\N
16514,1080,214,6,\N
16515,1080,51,2,\N
16516,1080,117,1,\N
16517,1080,213,0,\N
16518,1080,3,0,\N
16519,1080,210,0,\N
16520,1081,9,44,\N
16521,1081,131,27,\N
16522,1081,213,10,\N
16523,1081,117,8,\N
16524,1081,214,7,\N
16525,1081,1,6,\N
16526,1081,51,0,\N
16527,1081,3,0,\N
16528,1081,210,0,\N
16529,1081,6,0,\N
16530,1082,9,25,\N
16531,1082,6,29,\N
16532,1082,131,27,\N
16533,1082,214,10,\N
16534,1082,51,10,\N
16535,1082,117,1,\N
16536,1082,1,0,\N
16537,1082,3,0,\N
16538,1082,213,0,\N
16539,1082,210,0,\N
16540,1083,6,37,\N
16541,1083,9,24,\N
16542,1083,131,16,\N
16543,1083,214,10,\N
16544,1083,1,8,\N
16545,1083,210,5,\N
16546,1083,117,2,\N
16547,1083,3,0,\N
16548,1083,213,0,\N
16549,1083,51,0,\N
16550,1084,6,38,\N
16551,1084,9,31,\N
16552,1084,131,33,\N
16553,1084,214,14,\N
16554,1084,210,14,\N
16555,1084,1,8,\N
16556,1084,51,0,\N
16557,1084,3,0,\N
16558,1084,117,0,\N
16559,1084,213,0,\N
16560,1085,9,37,\N
16561,1085,131,33,\N
16562,1085,6,11,\N
16563,1085,214,12,\N
16564,1085,1,8,\N
16565,1085,117,1,\N
16566,1085,213,0,\N
16567,1085,3,0,\N
16568,1085,51,0,\N
16569,1085,210,0,\N
16570,1086,9,35,\N
16571,1086,131,34,\N
16572,1086,6,20,\N
16573,1086,1,6,\N
16574,1086,214,6,\N
16575,1086,117,1,\N
16576,1086,213,0,\N
16577,1086,51,0,\N
16578,1086,210,0,\N
16579,1086,3,0,\N
16580,1087,9,44,\N
16581,1087,6,23,\N
16582,1087,131,12,\N
16583,1087,214,16,\N
16584,1087,117,4,\N
16585,1087,213,2,\N
16586,1087,3,1,\N
16587,1087,1,0,\N
16588,1087,51,0,\N
16589,1087,210,0,\N
16590,1088,9,36,\N
16591,1088,131,30,\N
16592,1088,6,19,\N
16593,1088,214,10,\N
16594,1088,1,6,\N
16595,1088,117,1,\N
16596,1088,213,0,\N
16597,1088,3,0,\N
16598,1088,210,0,\N
16599,1088,51,0,\N
16600,1089,9,34,\N
16601,1089,6,30,\N
16602,1089,131,25,\N
16603,1089,1,6,\N
16604,1089,213,4,\N
16605,1089,3,2,\N
16606,1089,51,1,\N
16607,1089,214,0,\N
16608,1089,210,0,\N
16609,1089,117,0,\N
16610,1091,9,31,\N
16611,1091,6,33,\N
16612,1091,1,22,\N
16613,1091,117,12,\N
16614,1091,131,2,\N
16615,1091,213,1,\N
16616,1091,51,0,\N
16617,1091,210,0,\N
16618,1091,214,0,\N
16619,1091,3,0,\N
16620,1092,9,43,\N
16621,1092,6,15,\N
16622,1092,214,18,\N
16623,1092,131,14,\N
16624,1092,117,8,\N
16625,1092,3,2,\N
16626,1092,1,1,\N
16627,1092,213,0,\N
16628,1092,210,0,\N
16629,1092,51,0,\N
16630,1093,9,37,\N
16631,1093,131,29,\N
16632,1093,6,15,\N
16633,1093,1,8,\N
16634,1093,117,4,\N
16635,1093,210,2,\N
16636,1093,213,1,\N
16637,1093,214,6,\N
16638,1093,51,0,\N
16639,1093,3,0,\N
16640,1094,9,40,\N
16641,1094,131,31,\N
16642,1094,6,18,\N
16643,1094,1,8,\N
16644,1094,214,4,\N
16645,1094,51,1,\N
16646,1094,213,0,\N
16647,1094,3,0,\N
16648,1094,117,0,\N
16649,1094,210,0,\N
16650,1095,131,58,\N
16651,1095,6,37,\N
16652,1095,214,14,\N
16653,1095,9,23,\N
16654,1095,51,2,\N
16655,1095,117,1,\N
16656,1095,210,1,\N
16657,1095,213,0,\N
16658,1095,3,0,\N
16659,1095,1,2,\N
16660,1096,9,40,\N
16661,1096,6,30,\N
16662,1096,131,10,\N
16663,1096,1,11,\N
16664,1096,214,6,\N
16665,1096,117,5,\N
16666,1096,213,0,\N
16667,1096,51,0,\N
16668,1096,3,0,\N
16669,1096,210,0,\N
16670,1098,9,43,\N
16671,1098,117,23,\N
16672,1098,6,12,\N
16673,1098,131,16,\N
16674,1098,51,4,\N
16675,1098,214,2,\N
16676,1098,3,1,\N
16677,1098,213,0,\N
16678,1098,210,0,\N
16679,1098,1,0,\N
16680,1099,9,44,\N
16681,1099,131,22,\N
16682,1099,117,15,\N
16683,1099,6,14,\N
16684,1099,214,6,\N
16685,1099,210,1,\N
16686,1099,213,0,\N
16687,1099,51,0,\N
16688,1099,1,0,\N
16689,1099,3,0,\N
16690,1100,9,36,\N
16691,1100,131,18,\N
16692,1100,117,27,\N
16693,1100,1,12,\N
16694,1100,210,6,\N
16695,1100,51,2,\N
16696,1100,213,1,\N
16697,1100,6,0,\N
16698,1100,214,0,\N
16699,1100,3,0,\N
16700,1101,9,57,\N
16701,1101,6,36,\N
16702,1101,117,22,\N
16703,1101,131,20,\N
16704,1101,1,2,\N
16705,1101,213,1,\N
16706,1101,3,0,\N
16707,1101,210,0,\N
16708,1101,214,0,\N
16709,1101,51,0,\N
16710,1102,9,44,\N
16711,1102,117,15,\N
16712,1102,131,20,\N
16713,1102,6,16,\N
16714,1102,214,6,\N
16715,1102,210,1,\N
16716,1102,213,0,\N
16717,1102,51,0,\N
16718,1102,3,0,\N
16719,1102,1,0,\N
16720,1104,9,25,\N
16721,1104,117,18,\N
16722,1104,214,21,\N
16723,1104,131,23,\N
16724,1104,6,12,\N
16725,1104,1,3,\N
16726,1104,51,0,\N
16727,1104,213,0,\N
16728,1104,3,0,\N
16729,1104,210,0,\N
16730,1105,9,38,\N
16731,1105,131,33,\N
16732,1105,6,10,\N
16733,1105,117,14,\N
16734,1105,214,5,\N
16735,1105,51,2,\N
16736,1105,213,0,\N
16737,1105,1,0,\N
16738,1105,210,0,\N
16739,1105,3,0,\N
16740,1106,9,34,\N
16741,1106,117,20,\N
16742,1106,131,15,\N
16743,1106,6,22,\N
16744,1106,3,6,\N
16745,1106,214,4,\N
16746,1106,51,1,\N
16747,1106,1,0,\N
16748,1106,213,0,\N
16749,1106,210,0,\N
16750,1107,9,56,\N
16751,1107,6,32,\N
16752,1107,1,12,\N
16753,1107,117,21,\N
16754,1107,131,11,\N
16755,1107,214,3,\N
16756,1107,3,0,\N
16757,1107,51,0,\N
16758,1107,213,0,\N
16759,1107,210,3,\N
16760,1108,9,34,\N
16761,1108,1,30,\N
16762,1108,131,25,\N
16763,1108,117,6,\N
16764,1108,3,4,\N
16765,1108,6,3,\N
16766,1108,51,0,\N
16767,1108,210,0,\N
16768,1108,213,0,\N
16769,1108,214,0,\N
16770,1109,9,41,\N
16771,1109,1,28,\N
16772,1109,131,20,\N
16773,1109,6,10,\N
16774,1109,117,3,\N
16775,1109,3,0,\N
16776,1109,51,0,\N
16777,1109,213,0,\N
16778,1109,210,0,\N
16779,1109,214,0,\N
16780,1110,9,51,\N
16781,1110,6,24,\N
16782,1110,131,24,\N
16783,1110,117,12,\N
16784,1110,1,16,\N
16785,1110,214,10,\N
16786,1110,213,1,\N
16787,1110,51,0,\N
16788,1110,3,0,\N
16789,1110,210,0,\N
16790,1111,9,37,\N
16791,1111,117,19,\N
16792,1111,214,16,\N
16793,1111,6,10,\N
16794,1111,131,8,\N
16795,1111,1,8,\N
16796,1111,3,4,\N
16797,1111,210,0,\N
16798,1111,213,0,\N
16799,1111,51,0,\N
16800,1112,9,43,\N
16801,1112,6,27,\N
16802,1112,131,18,\N
16803,1112,3,6,\N
16804,1112,1,4,\N
16805,1112,117,2,\N
16806,1112,51,1,\N
16807,1112,213,0,\N
16808,1112,214,0,\N
16809,1112,210,0,\N
16810,1113,6,37,\N
16811,1113,1,24,\N
16812,1113,131,16,\N
16813,1113,9,14,\N
16814,1113,214,8,\N
16815,1113,213,2,\N
16816,1113,210,1,\N
16817,1113,3,0,\N
16818,1113,51,0,\N
16819,1113,117,0,\N
16820,1114,9,26,\N
16821,1114,1,33,\N
16822,1114,6,20,\N
16823,1114,131,16,\N
16824,1114,117,4,\N
16825,1114,214,3,\N
16826,1114,213,0,\N
16827,1114,51,0,\N
16828,1114,210,0,\N
16829,1114,3,0,\N
16830,1115,9,34,\N
16831,1115,1,47,\N
16832,1115,131,21,\N
16833,1115,6,13,\N
16834,1115,117,9,\N
16835,1115,214,6,\N
16836,1115,51,6,\N
16837,1115,3,2,\N
16838,1115,210,0,\N
16839,1115,213,0,\N
16840,1116,9,49,\N
16841,1116,1,23,\N
16842,1116,6,24,\N
16843,1116,131,18,\N
16844,1116,214,10,\N
16845,1116,117,6,\N
16846,1116,213,5,\N
16847,1116,3,3,\N
16848,1116,210,0,\N
16849,1116,51,0,\N
16850,1117,9,25,\N
16851,1117,131,27,\N
16852,1117,6,27,\N
16853,1117,1,14,\N
16854,1117,213,6,\N
16855,1117,3,2,\N
16856,1117,214,1,\N
16857,1117,210,0,\N
16858,1117,51,0,\N
16859,1117,117,0,\N
16860,1118,9,51,\N
16861,1118,1,26,\N
16862,1118,117,25,\N
16863,1118,6,13,\N
16864,1118,214,7,\N
16865,1118,131,11,\N
16866,1118,213,5,\N
16867,1118,3,0,\N
16868,1118,210,0,\N
16869,1118,51,0,\N
16870,1119,9,40,\N
16871,1119,6,26,\N
16872,1119,214,12,\N
16873,1119,117,12,\N
16874,1119,131,10,\N
16875,1119,1,2,\N
16876,1119,3,0,\N
16877,1119,210,0,\N
16878,1119,213,0,\N
16879,1119,51,0,\N
16884,1120,117,7,\N
16885,1120,213,4,\N
16886,1120,214,0,\N
16887,1120,3,0,\N
16888,1120,210,0,\N
16889,1120,51,0,\N
16890,1121,9,44,\N
16891,1121,6,27,\N
16892,1121,131,16,\N
16893,1121,1,12,\N
16894,1121,117,3,\N
16895,1121,15,0,\N
16896,1121,210,0,\N
16897,1121,215,0,\N
16898,1121,3,0,\N
16899,1121,214,0,\N
16900,1122,9,43,\N
16901,1122,6,22,\N
16902,1122,1,16,\N
16903,1122,117,10,\N
16904,1122,131,10,\N
16905,1122,210,1,\N
16906,1122,3,0,\N
16907,1122,214,0,\N
16908,1122,215,0,\N
16909,1122,15,0,\N
16910,1123,6,44,\N
16911,1123,1,27,\N
16912,1123,9,10,\N
16913,1123,117,12,\N
16914,1123,215,6,\N
16915,1123,210,3,\N
16916,1123,3,0,\N
16917,1123,214,0,\N
16918,1123,15,0,\N
16919,1123,131,0,\N
16920,1124,9,44,\N
16921,1124,6,27,\N
16922,1124,1,14,\N
16923,1124,117,8,\N
16924,1124,131,8,\N
16925,1124,215,1,\N
16926,1124,210,0,\N
16927,1124,15,0,\N
16928,1124,214,0,\N
16929,1124,3,0,\N
16930,1125,9,54,\N
16931,1125,1,27,\N
16932,1125,6,31,\N
16933,1125,131,18,\N
16934,1125,117,7,\N
16935,1125,210,1,\N
16936,1125,214,0,\N
16937,1125,3,0,\N
16938,1125,15,0,\N
16939,1125,215,0,\N
16940,1126,1,28,\N
16941,1126,9,44,\N
16942,1126,6,36,\N
16943,1126,131,12,\N
16944,1126,215,12,\N
16945,1126,117,2,\N
16946,1126,214,1,\N
16947,1126,210,2,\N
16948,1126,15,0,\N
16949,1126,3,0,\N
16950,1127,9,29,\N
16951,1127,1,30,\N
16952,1127,6,25,\N
16953,1127,131,15,\N
16954,1127,117,2,\N
16955,1127,215,1,\N
16956,1127,210,0,\N
16957,1127,214,0,\N
16958,1127,15,0,\N
16959,1127,3,0,\N
16960,1128,6,40,\N
16961,1128,1,30,\N
16962,1128,131,17,\N
16963,1128,9,8,\N
16964,1128,215,4,\N
16965,1128,3,2,\N
16966,1128,214,1,\N
16967,1128,117,0,\N
16968,1128,15,0,\N
16969,1128,210,0,\N
16970,1129,9,25,\N
16971,1129,1,28,\N
16972,1129,131,28,\N
16973,1129,117,14,\N
16974,1129,215,4,\N
16975,1129,214,3,\N
16976,1129,210,0,\N
16977,1129,15,0,\N
16978,1129,6,0,\N
16979,1129,3,0,\N
16980,1130,9,29,\N
16981,1130,1,25,\N
16982,1130,131,27,\N
16983,1130,6,18,\N
16984,1130,214,3,\N
16985,1130,210,0,\N
16986,1130,117,0,\N
16987,1130,15,0,\N
16988,1130,215,0,\N
16989,1130,3,0,\N
16990,1131,131,45,\N
16991,1131,1,31,\N
16992,1131,6,21,\N
16993,1131,9,25,\N
16994,1131,210,12,\N
16995,1131,215,2,\N
16996,1131,214,1,\N
16997,1131,117,0,\N
16998,1131,3,0,\N
16999,1131,15,0,\N
17000,1132,131,25,\N
17001,1132,9,18,\N
17002,1132,1,27,\N
17003,1132,6,11,\N
17004,1132,210,8,\N
17005,1132,117,10,\N
17006,1132,3,2,\N
17007,1132,215,1,\N
17008,1132,15,0,\N
17009,1132,214,0,\N
17010,1133,1,43,\N
17011,1133,131,20,\N
17012,1133,6,20,\N
17013,1133,9,16,\N
17014,1133,215,2,\N
17015,1133,117,1,\N
17016,1133,210,0,\N
17017,1133,3,0,\N
17018,1133,15,0,\N
17019,1133,214,0,\N
17020,1134,131,25,\N
17021,1134,1,28,\N
17022,1134,6,23,\N
17023,1134,9,19,\N
17024,1134,117,4,\N
17025,1134,214,2,\N
17026,1134,215,1,\N
17027,1134,3,0,\N
17028,1134,210,0,\N
17029,1134,15,0,\N
17030,1135,1,38,\N
17031,1135,9,26,\N
17032,1135,6,25,\N
17033,1135,131,10,\N
17034,1135,214,2,\N
17035,1135,117,1,\N
17036,1135,210,0,\N
17037,1135,215,0,\N
17038,1135,3,0,\N
17039,1135,15,0,\N
17040,1136,6,37,\N
17041,1136,1,34,\N
17042,1136,131,16,\N
17043,1136,9,12,\N
17044,1136,3,2,\N
17045,1136,210,1,\N
17046,1136,117,0,\N
17047,1136,215,0,\N
17048,1136,214,0,\N
17049,1136,15,0,\N
17050,1137,1,38,\N
17051,1137,6,18,\N
17052,1137,131,17,\N
17053,1137,9,10,\N
17054,1137,117,8,\N
17055,1137,3,10,\N
17056,1137,210,1,\N
17057,1137,214,0,\N
17058,1137,215,0,\N
17059,1137,15,0,\N
17060,1138,1,40,\N
17061,1138,9,19,\N
17062,1138,131,20,\N
17063,1138,6,16,\N
17064,1138,117,4,\N
17065,1138,210,2,\N
17066,1138,3,0,\N
17067,1138,215,0,\N
17068,1138,214,0,\N
17069,1138,15,0,\N
17070,1139,6,55,\N
17071,1139,9,29,\N
17072,1139,1,28,\N
17073,1139,131,15,\N
17074,1139,210,7,\N
17075,1139,215,2,\N
17076,1139,3,1,\N
17077,1139,214,0,\N
17078,1139,117,0,\N
17079,1139,15,0,\N
17080,1140,6,41,\N
17081,1140,1,22,\N
17082,1140,131,22,\N
17083,1140,9,8,\N
17084,1140,210,8,\N
17085,1140,214,1,\N
17086,1140,117,0,\N
17087,1140,3,0,\N
17088,1140,15,0,\N
17089,1140,215,0,\N
17090,1141,9,32,\N
17091,1141,214,35,\N
17092,1141,131,16,\N
17093,1141,6,20,\N
17094,1141,1,27,\N
17095,1141,215,8,\N
17096,1141,210,0,\N
17097,1141,15,0,\N
17098,1141,117,0,\N
17099,1141,3,0,\N
17100,1142,131,43,\N
17101,1142,6,27,\N
17102,1142,9,11,\N
17103,1142,1,15,\N
17104,1142,210,4,\N
17105,1142,215,2,\N
17106,1142,117,0,\N
17107,1142,15,0,\N
17108,1142,3,0,\N
17109,1142,214,0,\N
17110,1143,9,26,\N
17111,1143,6,35,\N
17112,1143,1,32,\N
17113,1143,131,21,\N
17114,1143,214,10,\N
17115,1143,117,6,\N
17116,1143,15,4,\N
17117,1143,210,4,\N
17118,1143,215,0,\N
17119,1143,3,0,\N
17120,1144,1,26,\N
17121,1144,6,33,\N
17122,1144,131,22,\N
17123,1144,9,8,\N
17124,1144,214,6,\N
17125,1144,210,4,\N
17126,1144,117,2,\N
17127,1144,3,0,\N
17128,1144,215,0,\N
17129,1144,15,0,\N
