driverStandingsId,raceId,driverId,points,position,positionText,wins
68609,989,20,25,1,1,1
68610,989,1,18,2,2,0
68611,989,8,15,3,3,0
68612,989,817,12,4,4,0
68613,989,4,10,5,5,0
68614,989,830,8,6,6,0
68615,989,807,6,7,7,0
68616,989,822,4,8,8,0
68617,989,838,2,9,9,0
68618,989,832,1,10,10,0
68619,989,815,0,11,11,0
68620,989,839,0,12,12,0
68621,989,844,0,13,13,0
68622,989,840,0,14,14,0
68623,989,843,0,15,15,0
68624,989,154,0,16,16,0
68625,989,825,0,17,17,0
68626,989,842,0,18,18,0
68627,989,828,0,19,19,0
68628,989,845,0,20,20,0
68708,990,845,0,20,20,0
68693,990,4,16,4,4,0
68694,990,830,8,10,10,0
68705,990,825,10,9,9,0
68701,990,844,0,16,16,0
68709,992,20,66,2,2,2
68707,990,828,2,12,12,0
68706,990,842,12,7,7,0
68691,990,8,15,5,5,0
68704,990,154,0,17,17,0
68702,990,840,0,18,18,0
68703,990,843,0,19,19,0
68700,990,839,1,14,14,0
68699,990,815,0,15,15,0
68698,990,832,1,13,13,0
68697,990,838,6,11,11,0
68696,990,822,22,3,3,0
68695,990,807,14,6,6,0
68692,990,817,12,8,8,0
68689,990,20,50,1,1,2
68690,990,1,33,2,2,0
68669,991,20,54,1,1,2
68670,991,1,45,2,2,0
68671,991,8,30,5,5,0
68672,991,817,37,4,4,1
68673,991,4,22,6,6,0
68674,991,830,18,8,8,0
68675,991,807,22,7,7,0
68676,991,822,40,3,3,0
68677,991,838,6,11,11,0
68678,991,832,3,12,12,0
68679,991,815,0,15,15,0
68680,991,839,1,14,14,0
68681,991,844,0,16,16,0
68682,991,840,0,18,18,0
68683,991,843,0,20,20,0
68684,991,154,0,17,17,0
68685,991,825,11,10,10,0
68686,991,842,12,9,9,0
68687,991,828,2,13,13,0
68688,991,845,0,19,19,0
68710,992,1,70,1,1,1
68711,992,8,48,3,3,0
68712,992,817,37,5,5,1
68713,992,4,28,6,6,0
68714,992,830,18,8,8,0
68715,992,807,22,7,7,0
68716,992,822,40,4,4,0
68717,992,838,8,14,14,0
68718,992,832,13,10,10,0
68719,992,815,15,9,9,0
68720,992,839,1,17,17,0
68721,992,844,8,13,13,0
68722,992,840,4,15,15,0
68723,992,843,1,18,18,0
68724,992,154,0,19,19,0
68725,992,825,11,12,12,0
68726,992,842,12,11,11,0
68727,992,828,2,16,16,0
68728,992,845,0,20,20,0
68729,993,20,78,2,2,2
68730,993,1,95,1,1,2
68731,993,8,48,4,4,0
68732,993,817,47,5,5,1
68733,993,4,32,7,7,0
68734,993,830,33,6,6,0
68735,993,807,22,8,8,0
68736,993,822,58,3,3,0
68737,993,838,8,14,14,0
68738,993,832,19,10,10,0
68739,993,815,17,11,11,0
68740,993,839,1,17,17,0
68741,993,844,9,13,13,0
68742,993,840,4,15,15,0
68743,993,843,1,18,18,0
68744,993,154,0,19,19,0
68745,993,825,19,9,9,0
68746,993,842,12,12,12,0
68747,993,828,2,16,16,0
68748,993,845,0,20,20,0
68749,994,20,96,2,2,2
68750,994,1,110,1,1,2
68751,994,8,60,5,5,0
68752,994,817,72,3,3,2
68753,994,4,32,7,7,0
68754,994,830,35,6,6,0
68755,994,807,26,8,8,0
68756,994,822,68,4,4,0
68757,994,838,8,15,15,0
68758,994,832,20,9,9,0
68759,994,815,17,12,12,0
68760,994,839,9,13,13,0
68761,994,844,9,14,14,0
68762,994,840,4,16,16,0
68763,994,843,1,18,18,0
68764,994,154,0,19,19,0
68765,994,825,19,10,10,0
68766,994,842,18,11,11,0
68767,994,828,2,17,17,0
68768,994,845,0,20,20,0
68769,995,20,121,1,1,3
68770,995,1,120,2,2,2
68771,995,8,68,5,5,0
68772,995,817,84,4,4,2
68773,995,4,32,7,7,0
68774,995,830,50,6,6,0
68775,995,807,32,8,8,0
68776,995,822,86,3,3,0
68777,995,838,8,15,15,0
68778,995,832,24,9,9,0
68779,995,815,17,12,12,0
68780,995,839,11,13,13,0
68781,995,844,10,14,14,0
68782,995,840,4,16,16,0
68783,995,843,1,18,18,0
68784,995,154,0,19,19,0
68785,995,825,19,10,10,0
68786,995,842,18,11,11,0
68787,995,828,2,17,17,0
68788,995,845,0,20,20,0
68789,996,20,131,2,2,3
68790,996,1,145,1,1,3
68791,996,8,83,5,5,0
68792,996,817,96,3,3,2
68793,996,4,32,8,8,0
68794,996,830,68,6,6,0
68795,996,807,34,7,7,0
68796,996,822,92,4,4,0
68797,996,838,8,15,15,0
68798,996,832,28,9,9,0
68799,996,815,17,12,12,0
68800,996,839,11,13,13,0
68801,996,844,11,14,14,0
68802,996,840,4,16,16,0
68803,996,843,1,18,18,0
68804,996,154,0,19,19,0
68805,996,825,27,10,10,0
68806,996,842,18,11,11,0
68807,996,828,2,17,17,0
68808,996,845,0,20,20,0
68809,997,20,146,1,1,3
68810,997,1,145,2,2,3
68811,997,8,101,3,3,0
68812,997,817,96,4,4,2
68813,997,4,36,8,8,0
68814,997,830,93,5,5,1
68815,997,807,34,9,9,0
68816,997,822,92,6,6,0
68817,997,838,8,16,16,0
68818,997,832,28,10,10,0
68819,997,815,23,11,11,0
68820,997,839,19,12,12,0
68821,997,844,13,14,14,0
68822,997,840,4,17,17,0
68823,997,843,1,19,19,0
68824,997,154,12,15,15,0
68825,997,825,37,7,7,0
68826,997,842,18,13,13,0
68827,997,828,3,18,18,0
68828,997,845,0,20,20,0
68829,998,20,171,1,1,4
68830,998,1,163,2,2,3
68831,998,8,116,3,3,0
68832,998,817,106,4,4,2
68833,998,4,40,8,8,0
68834,998,830,93,6,6,1
68835,998,807,42,7,7,0
68836,998,822,104,5,5,0
68837,998,838,8,16,16,0
68838,998,832,28,10,10,0
68839,998,815,24,12,12,0
68840,998,839,25,11,11,0
68841,998,844,13,14,14,0
68842,998,840,4,17,17,0
68843,998,843,1,19,19,0
68844,998,154,12,15,15,0
68845,998,825,39,9,9,0
68846,998,842,18,13,13,0
68847,998,828,3,18,18,0
68848,998,845,0,20,20,0
68849,999,20,171,2,2,4
68850,999,1,188,1,1,4
68851,999,8,131,3,3,0
68852,999,817,106,5,5,2
68853,999,4,40,8,8,0
68854,999,830,105,6,6,1
68855,999,807,52,7,7,0
68856,999,822,122,4,4,0
68857,999,838,8,16,16,0
68858,999,832,28,12,12,0
68859,999,815,30,10,10,0
68860,999,839,29,11,11,0
68861,999,844,13,15,15,0
68862,999,840,4,18,18,0
68863,999,843,2,19,19,0
68864,999,154,20,13,13,0
68865,999,825,39,9,9,0
68866,999,842,18,14,14,0
68867,999,828,5,17,17,0
68868,999,845,0,20,20,0
68869,1000,20,189,2,2,4
68870,1000,1,213,1,1,5
68871,1000,8,146,3,3,0
68872,1000,817,118,5,5,2
68873,1000,4,44,9,9,0
68874,1000,830,105,6,6,1
68875,1000,807,52,7,7,0
68876,1000,822,132,4,4,0
68877,1000,838,8,16,16,0
68878,1000,832,30,11,11,0
68879,1000,815,30,10,10,0
68880,1000,839,29,12,12,0
68881,1000,844,13,15,15,0
68882,1000,840,4,18,18,0
68883,1000,843,2,19,19,0
68884,1000,154,21,14,14,0
68885,1000,825,45,8,8,0
68886,1000,842,26,13,13,0
68887,1000,828,5,17,17,0
68888,1000,845,0,20,20,0
68889,1001,20,214,2,2,5
68890,1001,1,231,1,1,5
68891,1001,8,146,3,3,0
68892,1001,817,118,6,6,2
68893,1001,4,44,9,9,0
68894,1001,830,120,5,5,1
68895,1001,807,52,7,7,0
68896,1001,822,144,4,4,0
68897,1001,838,8,16,16,0
68898,1001,832,30,12,12,0
68899,1001,815,40,10,10,0
68900,1001,839,37,11,11,0
68901,1001,844,13,15,15,0
68902,1001,840,4,18,18,0
68903,1001,843,2,19,19,0
68904,1001,154,27,14,14,0
68905,1001,825,49,8,8,0
68906,1001,842,28,13,13,0
68907,1001,828,6,17,17,0
68908,1001,845,0,20,20,0
68963,1002,843,2,19,19,0
68966,1002,842,28,13,13,0
68958,1002,832,34,12,12,0
68968,1002,845,1,20,20,0
68956,1002,822,159,4,4,0
68967,1002,828,6,18,18,0
68952,1002,817,118,6,6,2
68965,1002,825,49,8,8,0
68964,1002,154,27,14,14,0
68962,1002,840,6,17,17,0
68960,1002,839,45,10,10,0
68961,1002,844,13,15,15,0
68959,1002,815,46,9,9,0
68957,1002,838,8,16,16,0
68955,1002,807,52,7,7,0
68954,1002,830,130,5,5,1
68953,1002,4,44,11,11,0
68949,1002,20,226,2,2,5
68950,1002,1,256,1,1,6
68951,1002,8,164,3,3,0
68969,1003,20,241,2,2,5
68970,1003,1,281,1,1,7
68971,1003,8,174,3,3,0
68972,1003,817,126,6,6,2
68973,1003,4,50,8,8,0
68974,1003,830,148,5,5,1
68975,1003,807,53,7,7,0
68976,1003,822,171,4,4,0
68977,1003,838,8,16,16,0
68978,1003,832,38,12,12,0
68979,1003,815,46,10,10,0
68980,1003,839,45,11,11,0
68981,1003,844,15,15,15,0
68982,1003,840,6,17,17,0
68983,1003,843,2,19,19,0
68984,1003,154,27,14,14,0
68985,1003,825,49,9,9,0
68986,1003,842,28,13,13,0
68987,1003,828,6,18,18,0
68988,1003,845,1,20,20,0
68989,1004,20,256,2,2,5
68990,1004,1,306,1,1,8
68991,1004,8,186,4,4,0
68992,1004,817,134,6,6,2
68993,1004,4,50,9,9,0
68994,1004,830,158,5,5,1
68995,1004,807,53,8,8,0
68996,1004,822,189,3,3,0
68997,1004,838,8,16,16,0
68998,1004,832,38,12,12,0
68999,1004,815,47,10,10,0
69000,1004,839,47,11,11,0
69001,1004,844,21,15,15,0
69002,1004,840,6,17,17,0
69003,1004,843,2,19,19,0
69004,1004,154,27,14,14,0
69005,1004,825,53,7,7,0
69006,1004,842,28,13,13,0
69007,1004,828,6,18,18,0
69008,1004,845,1,20,20,0
69009,1005,20,264,2,2,5
69010,1005,1,331,1,1,9
69011,1005,8,196,4,4,0
69012,1005,817,146,6,6,2
69013,1005,4,50,10,10,0
69014,1005,830,173,5,5,1
69015,1005,807,53,9,9,0
69016,1005,822,207,3,3,0
69017,1005,838,8,16,16,0
69018,1005,832,39,12,12,0
69019,1005,815,53,7,7,0
69020,1005,839,49,11,11,0
69021,1005,844,21,15,15,0
69022,1005,840,6,17,17,0
69023,1005,843,2,19,19,0
69024,1005,154,31,13,13,0
69025,1005,825,53,8,8,0
69026,1005,842,28,14,14,0
69027,1005,828,6,18,18,0
69028,1005,845,1,20,20,0
69067,1006,828,7,17,17,0
69065,1006,825,53,9,9,0
69063,1006,843,4,19,19,0
69062,1006,840,6,18,18,0
69060,1006,839,49,11,11,0
69058,1006,832,45,12,12,0
69056,1006,822,217,4,4,0
69054,1006,830,191,5,5,1
69052,1006,817,146,6,6,2
69050,1006,1,346,1,1,9
69066,1006,842,28,14,14,0
69068,1006,845,1,20,20,0
69055,1006,807,61,7,7,0
69061,1006,844,21,15,15,0
69064,1006,154,31,13,13,0
69057,1006,838,8,16,16,0
69053,1006,4,50,10,10,0
69059,1006,815,57,8,8,0
69051,1006,8,221,3,3,1
69049,1006,20,276,2,2,5
69069,1007,20,294,2,2,5
69070,1007,1,358,1,1,9
69071,1007,8,236,3,3,1
69072,1007,817,146,6,6,2
69073,1007,4,50,10,10,0
69074,1007,830,216,5,5,2
69075,1007,807,69,7,7,0
69076,1007,822,227,4,4,0
69077,1007,838,12,16,16,0
69078,1007,832,45,12,12,0
69079,1007,815,57,8,8,0
69080,1007,839,49,11,11,0
69081,1007,844,27,15,15,0
69082,1007,840,6,18,18,0
69083,1007,843,4,19,19,0
69084,1007,154,31,13,13,0
69085,1007,825,53,9,9,0
69086,1007,842,29,14,14,0
69087,1007,828,9,17,17,0
69088,1007,845,1,20,20,0
69089,1008,20,302,2,2,5
69090,1008,1,383,1,1,10
69091,1008,8,251,3,3,1
69092,1008,817,158,6,6,2
69093,1008,4,50,10,10,0
69094,1008,830,234,5,5,2
69095,1008,807,69,7,7,0
69096,1008,822,237,4,4,0
69097,1008,838,12,16,16,0
69098,1008,832,45,12,12,0
69099,1008,815,58,8,8,0
69100,1008,839,49,11,11,0
69101,1008,844,33,14,14,0
69102,1008,840,6,18,18,0
69103,1008,843,4,19,19,0
69104,1008,154,35,13,13,0
69105,1008,825,55,9,9,0
69106,1008,842,29,15,15,0
69107,1008,828,9,17,17,0
69108,1008,845,1,20,20,0
69109,1009,20,320,2,2,5
69110,1009,1,408,1,1,11
69111,1009,8,251,3,3,1
69112,1009,817,170,6,6,2
69113,1009,4,50,11,11,0
69114,1009,830,249,4,4,2
69115,1009,807,69,7,7,0
69116,1009,822,247,5,5,0
69117,1009,838,12,16,16,0
69118,1009,832,53,10,10,0
69119,1009,815,62,8,8,0
69120,1009,839,49,12,12,0
69121,1009,844,39,13,13,0
69122,1009,840,6,18,18,0
69123,1009,843,4,19,19,0
69124,1009,154,37,14,14,0
69125,1009,825,56,9,9,0
69126,1009,842,29,15,15,0
69127,1009,828,9,17,17,0
69128,1009,845,1,20,20,0
69768,1010,832,0,20,20,0
69767,1010,817,0,19,19,0
69766,1010,154,0,18,18,0
69765,1010,9,0,17,17,0
69764,1010,847,0,16,16,0
69763,1010,841,0,15,15,0
69762,1010,848,0,14,14,0
69761,1010,815,0,13,13,0
69760,1010,846,0,12,12,0
69750,1010,1,18,2,2,0
69230,1012,1,68,1,1,2
69759,1010,842,0,11,11,0
69758,1010,826,1,10,10,0
69757,1010,840,2,9,9,0
69756,1010,8,4,8,8,0
69755,1010,807,6,7,7,0
69754,1010,825,8,6,6,0
69753,1010,844,10,5,5,0
69752,1010,20,12,4,4,0
69751,1010,830,15,3,3,0
69749,1010,822,26,1,1,1
69229,1012,822,62,2,2,1
69227,1011,817,0,18,18,0
69226,1011,154,0,19,19,0
69224,1011,847,0,16,16,0
69222,1011,848,2,11,11,0
69219,1011,842,4,10,10,0
69216,1011,8,10,6,6,0
69211,1011,830,27,3,3,0
69228,1011,832,0,20,20,0
69223,1011,841,0,15,15,0
69218,1011,826,1,13,13,0
69225,1011,9,0,17,17,0
69220,1011,846,8,7,7,0
69215,1011,807,6,9,9,0
69221,1011,815,1,14,14,0
69217,1011,840,2,12,12,0
69214,1011,825,8,8,8,0
69213,1011,844,26,4,4,0
69212,1011,20,22,5,5,0
69210,1011,1,43,2,2,1
69209,1011,822,44,1,1,1
69231,1012,830,39,3,3,0
69232,1012,20,37,4,4,0
69233,1012,844,36,5,5,0
69234,1012,825,8,9,9,0
69235,1012,807,6,10,10,0
69236,1012,8,12,7,7,0
69237,1012,840,2,14,14,0
69238,1012,826,1,15,15,0
69239,1012,842,13,6,6,0
69240,1012,846,8,8,8,0
69241,1012,815,5,12,12,0
69242,1012,848,3,13,13,0
69243,1012,841,0,16,16,0
69244,1012,847,0,19,19,0
69245,1012,9,0,20,20,0
69246,1012,154,0,17,17,0
69247,1012,817,6,11,11,0
69248,1012,832,0,18,18,0
69249,1013,822,87,1,1,2
69250,1013,1,86,2,2,2
69251,1013,830,51,4,4,0
69252,1013,20,52,3,3,0
69253,1013,844,47,5,5,0
69254,1013,825,8,10,10,0
69255,1013,807,6,11,11,0
69256,1013,8,13,8,8,0
69257,1013,840,4,14,14,0
69258,1013,826,1,16,16,0
69259,1013,842,13,7,7,0
69260,1013,846,12,9,9,0
69261,1013,815,13,6,6,0
69262,1013,848,3,15,15,0
69263,1013,841,0,17,17,0
69264,1013,847,0,19,19,0
69265,1013,9,0,20,20,0
69266,1013,154,0,18,18,0
69267,1013,817,6,13,13,0
69268,1013,832,6,12,12,0
69308,1014,832,10,11,11,0
69307,1014,817,6,12,12,0
69306,1014,154,1,17,17,0
69305,1014,9,0,20,20,0
69303,1014,841,0,18,18,0
69302,1014,848,3,15,15,0
69299,1014,842,21,6,6,0
69297,1014,840,4,14,14,0
69296,1014,8,13,9,9,0
69293,1014,844,57,5,5,0
69291,1014,830,66,3,3,0
69290,1014,1,112,1,1,3
69301,1014,815,13,8,8,0
69298,1014,826,3,16,16,0
69300,1014,846,12,10,10,0
69289,1014,822,105,2,2,2
69304,1014,847,0,19,19,0
69292,1014,20,64,4,4,0
69295,1014,807,6,13,13,0
69294,1014,825,14,7,7,0
69309,1015,822,120,2,2,2
69310,1015,1,137,1,1,4
69311,1015,830,78,4,4,0
69312,1015,20,82,3,3,0
69313,1015,844,57,5,5,0
69314,1015,825,14,8,8,0
69315,1015,807,6,15,15,0
69316,1015,8,13,10,10,0
69317,1015,840,4,16,16,0
69318,1015,826,9,12,12,0
69319,1015,842,32,6,6,0
69320,1015,846,12,11,11,0
69321,1015,815,13,9,9,0
69322,1015,848,7,14,14,0
69323,1015,841,0,18,18,0
69324,1015,847,0,19,19,0
69325,1015,9,0,20,20,0
69326,1015,154,2,17,17,0
69327,1015,817,8,13,13,0
69328,1015,832,18,7,7,0
69329,1016,822,133,2,2,2
69330,1016,1,162,1,1,5
69331,1016,830,88,4,4,0
69332,1016,20,100,3,3,0
69333,1016,844,72,5,5,0
69334,1016,825,14,9,9,0
69335,1016,807,12,13,13,0
69336,1016,8,13,11,11,0
69337,1016,840,6,16,16,0
69338,1016,826,10,14,14,0
69339,1016,842,36,6,6,0
69340,1016,846,12,12,12,0
69341,1016,815,13,10,10,0
69342,1016,848,7,15,15,0
69343,1016,841,0,18,18,0
69344,1016,847,0,19,19,0
69345,1016,9,0,20,20,0
69346,1016,154,2,17,17,0
69347,1016,817,16,8,8,0
69348,1016,832,18,7,7,0
69424,1017,847,0,19,19,0
69428,1017,832,26,7,7,0
69416,1017,8,19,8,8,0
69417,1017,840,6,16,16,0
69409,1017,822,151,2,2,2
69427,1017,817,16,9,9,0
69426,1017,154,2,17,17,0
69425,1017,9,0,20,20,0
69423,1017,841,0,18,18,0
69422,1017,848,7,15,15,0
69421,1017,815,13,13,13,0
69419,1017,842,37,6,6,0
69420,1017,846,14,12,12,0
69418,1017,826,10,14,14,0
69414,1017,825,14,11,11,0
69415,1017,807,16,10,10,0
69413,1017,844,87,5,5,0
69412,1017,20,111,3,3,0
69411,1017,830,100,4,4,0
69410,1017,1,187,1,1,6
69429,1018,822,166,2,2,2
69430,1018,1,197,1,1,6
69431,1018,830,126,3,3,1
69432,1018,20,123,4,4,0
69433,1018,844,105,5,5,0
69434,1018,825,14,12,12,0
69435,1018,807,16,11,11,0
69436,1018,8,21,9,9,0
69437,1018,840,6,16,16,0
69438,1018,826,10,14,14,0
69439,1018,842,43,6,6,0
69440,1018,846,22,8,8,0
69441,1018,815,13,13,13,0
69442,1018,848,7,15,15,0
69443,1018,841,1,18,18,0
69444,1018,847,0,19,19,0
69445,1018,9,0,20,20,0
69446,1018,154,2,17,17,0
69447,1018,817,16,10,10,0
69448,1018,832,30,7,7,0
69449,1019,822,184,2,2,2
69450,1019,1,223,1,1,7
69451,1019,830,136,3,3,1
69452,1019,20,123,4,4,0
69453,1019,844,120,5,5,0
69454,1019,825,14,12,12,0
69455,1019,807,17,11,11,0
69456,1019,8,25,8,8,0
69457,1019,840,6,16,16,0
69458,1019,826,12,14,14,0
69459,1019,842,55,6,6,0
69460,1019,846,22,9,9,0
69461,1019,815,13,13,13,0
69462,1019,848,7,15,15,0
69463,1019,841,1,18,18,0
69464,1019,847,0,19,19,0
69465,1019,9,0,20,20,0
69466,1019,154,2,17,17,0
69467,1019,817,22,10,10,0
69468,1019,832,38,7,7,0
69508,1020,832,48,7,7,0
69507,1020,817,22,11,11,0
69506,1020,154,8,17,17,0
69505,1020,9,1,19,19,0
69501,1020,815,13,16,16,0
69500,1020,846,22,10,10,0
69499,1020,842,55,6,6,0
69498,1020,826,27,8,8,0
69497,1020,840,18,12,12,0
69496,1020,8,25,9,9,0
69490,1020,1,225,1,1,7
69503,1020,841,1,18,18,0
69489,1020,822,184,2,2,2
69504,1020,847,0,20,20,0
69502,1020,848,15,15,15,0
69491,1020,830,162,3,3,2
69492,1020,20,141,4,4,0
69493,1020,844,120,5,5,0
69494,1020,825,18,13,13,0
69495,1020,807,17,14,14,0
69509,1021,822,188,2,2,2
69510,1021,1,250,1,1,8
69511,1021,830,181,3,3,2
69512,1021,20,156,4,4,0
69513,1021,844,132,5,5,0
69514,1021,825,18,13,13,0
69515,1021,807,17,14,14,0
69516,1021,8,31,8,8,0
69517,1021,840,18,12,12,0
69518,1021,826,27,9,9,0
69519,1021,842,63,6,6,0
69520,1021,846,24,10,10,0
69521,1021,815,13,16,16,0
69522,1021,848,16,15,15,0
69523,1021,841,1,18,18,0
69524,1021,847,0,20,20,0
69525,1021,9,1,19,19,0
69526,1021,154,8,17,17,0
69527,1021,817,22,11,11,0
69528,1021,832,58,7,7,0
69529,1022,822,203,2,2,2
69530,1022,1,268,1,1,8
69531,1022,830,181,3,3,2
69532,1022,20,169,4,4,0
69533,1022,844,157,5,5,1
69534,1022,825,18,16,16,0
69535,1022,807,21,14,14,0
69536,1022,8,31,9,9,0
69537,1022,840,19,15,15,0
69538,1022,826,33,8,8,0
69539,1022,842,65,6,6,0
69540,1022,846,24,11,11,0
69541,1022,815,21,13,13,0
69542,1022,848,26,10,10,0
69543,1022,841,1,18,18,0
69544,1022,847,0,20,20,0
69545,1022,9,1,19,19,0
69546,1022,154,8,17,17,0
69547,1022,817,22,12,12,0
69548,1022,832,58,7,7,0
69549,1023,822,221,2,2,2
69550,1023,1,284,1,1,8
69551,1023,830,185,3,3,2
69552,1023,20,169,5,5,0
69553,1023,844,182,4,4,2
69554,1023,825,18,16,16,0
69555,1023,807,31,11,11,0
69556,1023,8,31,12,12,0
69557,1023,840,19,15,15,0
69558,1023,826,33,10,10,0
69559,1023,842,65,6,6,0
69560,1023,846,25,14,14,0
69561,1023,815,27,13,13,0
69562,1023,848,34,9,9,0
69563,1023,841,3,18,18,0
69564,1023,847,0,20,20,0
69565,1023,9,1,19,19,0
69566,1023,154,8,17,17,0
69567,1023,817,34,8,8,0
69568,1023,832,58,7,7,0
69569,1024,822,231,2,2,2
69570,1024,1,296,1,1,8
69571,1024,830,200,4,4,2
69572,1024,20,194,5,5,1
69573,1024,844,200,3,3,2
69574,1024,825,18,16,16,0
69575,1024,807,33,11,11,0
69576,1024,8,31,13,13,0
69577,1024,840,19,15,15,0
69578,1024,826,33,10,10,0
69579,1024,842,69,6,6,0
69580,1024,846,31,12,12,0
69581,1024,815,27,14,14,0
69582,1024,848,42,8,8,0
69583,1024,841,4,18,18,0
69584,1024,847,0,20,20,0
69585,1024,9,1,19,19,0
69586,1024,154,8,17,17,0
69587,1024,817,34,9,9,0
69588,1024,832,58,7,7,0
69589,1025,822,249,2,2,2
69590,1025,1,322,1,1,9
69591,1025,830,212,4,4,2
69592,1025,20,194,5,5,1
69593,1025,844,215,3,3,2
69594,1025,825,20,15,15,0
69595,1025,807,34,11,11,0
69596,1025,8,31,14,14,0
69597,1025,840,19,16,16,0
69598,1025,826,33,12,12,0
69599,1025,842,69,6,6,0
69600,1025,846,35,9,9,0
69601,1025,815,33,13,13,0
69602,1025,848,52,8,8,0
69603,1025,841,4,18,18,0
69604,1025,847,0,20,20,0
69605,1025,9,1,19,19,0
69606,1025,154,8,17,17,0
69607,1025,817,34,10,10,0
69608,1025,832,66,7,7,0
69668,1026,832,76,6,6,0
69667,1026,817,34,12,12,0
69666,1026,154,8,17,17,0
69665,1026,9,1,19,19,0
69664,1026,847,0,20,20,0
69663,1026,841,4,18,18,0
69662,1026,848,64,8,8,0
69657,1026,840,21,15,15,0
69656,1026,8,31,14,14,0
69654,1026,825,20,16,16,0
69652,1026,20,212,5,5,1
69650,1026,1,338,1,1,9
69649,1026,822,274,2,2,3
69658,1026,826,34,11,11,0
69651,1026,830,212,4,4,2
69659,1026,842,75,7,7,0
69660,1026,846,35,10,10,0
69661,1026,815,37,9,9,0
69653,1026,844,223,3,3,2
69655,1026,807,34,13,13,0
69688,1027,832,76,7,7,0
69687,1027,817,38,10,10,0
69686,1027,154,8,17,17,0
69685,1027,9,1,19,19,0
69684,1027,847,0,20,20,0
69683,1027,841,4,18,18,0
69682,1027,848,74,8,8,0
69679,1027,842,77,6,6,0
69677,1027,840,21,15,15,0
69676,1027,8,31,14,14,0
69674,1027,825,20,16,16,0
69672,1027,20,230,4,4,1
69670,1027,1,363,1,1,10
69669,1027,822,289,2,2,3
69678,1027,826,34,13,13,0
69671,1027,830,220,5,5,2
69680,1027,846,35,12,12,0
69681,1027,815,43,9,9,0
69673,1027,844,236,3,3,2
69675,1027,807,35,11,11,0
69689,1028,822,314,2,2,4
69690,1028,1,381,1,1,10
