raceId,year,round,circuitId,date,time,name
989,2018,1,1,2018-03-25,05:10:00,Australian Grand Prix
990,2018,2,3,2018-04-08,15:10:00,Bahrain Grand Prix
991,2018,3,17,2018-04-15,06:10:00,Chinese Grand Prix
992,2018,4,73,2018-04-29,12:10:00,Azerbaijan Grand Prix
993,2018,5,4,2018-05-13,13:10:00,Spanish Grand Prix
994,2018,6,6,2018-05-27,13:10:00,Monaco Grand Prix
995,2018,7,7,2018-06-10,18:10:00,Canadian Grand Prix
996,2018,8,34,2018-06-24,14:10:00,French Grand Prix
997,2018,9,70,2018-07-01,13:10:00,Austrian Grand Prix
998,2018,10,9,2018-07-08,13:10:00,British Grand Prix
999,2018,11,10,2018-07-22,13:10:00,German Grand Prix
1000,2018,12,11,2018-07-29,13:10:00,Hungarian Grand Prix
1001,2018,13,13,2018-08-26,13:10:00,Belgian Grand Prix
1002,2018,14,14,2018-09-02,13:10:00,Italian Grand Prix
1003,2018,15,15,2018-09-16,12:10:00,Singapore Grand Prix
1004,2018,16,71,2018-09-30,11:10:00,Russian Grand Prix
1005,2018,17,22,2018-10-07,05:10:00,Japanese Grand Prix
1006,2018,18,69,2018-10-21,18:10:00,United States Grand Prix
1007,2018,19,32,2018-10-28,19:10:00,Mexican Grand Prix
1008,2018,20,18,2018-11-11,17:10:00,Brazilian Grand Prix
1009,2018,21,24,2018-11-25,13:10:00,Abu Dhabi Grand Prix
1010,2019,1,1,2019-03-17,05:10:00,Australian Grand Prix
1011,2019,2,3,2019-03-31,15:10:00,Bahrain Grand Prix
1012,2019,3,17,2019-04-14,06:10:00,Chinese Grand Prix
1013,2019,4,73,2019-04-28,12:10:00,Azerbaijan Grand Prix
1014,2019,5,4,2019-05-12,13:10:00,Spanish Grand Prix
1015,2019,6,6,2019-05-26,13:10:00,Monaco Grand Prix
1016,2019,7,7,2019-06-09,18:10:00,Canadian Grand Prix
1017,2019,8,34,2019-06-23,13:10:00,French Grand Prix
1018,2019,9,70,2019-06-30,13:10:00,Austrian Grand Prix
1019,2019,10,9,2019-07-14,13:10:00,British Grand Prix
1020,2019,11,10,2019-07-28,13:10:00,German Grand Prix
1021,2019,12,11,2019-08-04,13:10:00,Hungarian Grand Prix
1022,2019,13,13,2019-09-01,13:10:00,Belgian Grand Prix
1023,2019,14,14,2019-09-08,13:10:00,Italian Grand Prix
1024,2019,15,15,2019-09-22,12:10:00,Singapore Grand Prix
1025,2019,16,71,2019-09-29,11:10:00,Russian Grand Prix
1026,2019,17,22,2019-10-13,05:10:00,Japanese Grand Prix
1027,2019,18,32,2019-10-27,19:10:00,Mexican Grand Prix
1028,2019,19,69,2019-11-03,19:10:00,United States Grand Prix
1029,2019,20,18,2019-11-17,17:10:00,Brazilian Grand Prix
1030,2019,21,24,2019-12-01,13:10:00,Abu Dhabi Grand Prix
1031,2020,1,70,2020-07-05,13:10:00,Austrian Grand Prix
1032,2020,2,70,2020-07-12,13:10:00,Styrian Grand Prix
1033,2020,3,11,2020-07-19,13:10:00,Hungarian Grand Prix
1034,2020,4,9,2020-08-02,13:10:00,British Grand Prix
1035,2020,5,9,2020-08-09,13:10:00,70th Anniversary Grand Prix
1036,2020,6,4,2020-08-16,13:10:00,Spanish Grand Prix
1037,2020,7,13,2020-08-30,13:10:00,Belgian Grand Prix
1038,2020,8,14,2020-09-06,13:10:00,Italian Grand Prix
1039,2020,9,76,2020-09-13,13:10:00,Tuscan Grand Prix
1040,2020,10,71,2020-09-27,11:10:00,Russian Grand Prix
1041,2020,11,20,2020-10-11,13:10:00,Eifel Grand Prix
1042,2020,12,75,2020-10-25,12:10:00,Portuguese Grand Prix
1043,2020,13,21,2020-11-01,12:10:00,Emilia Romagna Grand Prix
1044,2020,14,5,2020-11-15,10:10:00,Turkish Grand Prix
1045,2020,15,3,2020-11-29,14:10:00,Bahrain Grand Prix
1046,2020,16,3,2020-12-06,17:10:00,Sakhir Grand Prix
1047,2020,17,24,2020-12-13,13:10:00,Abu Dhabi Grand Prix
1053,2021,2,21,2021-04-18,13:00:00,Emilia Romagna Grand Prix
1074,2022,1,3,2022-03-20,15:00:00,Bahrain Grand Prix
1052,2021,1,3,2021-03-28,15:00:00,Bahrain Grand Prix
1051,2021,20,78,2021-11-21,14:00:00,Qatar Grand Prix
1054,2021,3,75,2021-05-02,14:00:00,Portuguese Grand Prix
1055,2021,4,4,2021-05-09,13:00:00,Spanish Grand Prix
1056,2021,5,6,2021-05-23,13:00:00,Monaco Grand Prix
1057,2021,6,73,2021-06-06,12:00:00,Azerbaijan Grand Prix
1058,2021,8,70,2021-06-27,13:00:00,Styrian Grand Prix
1059,2021,7,34,2021-06-20,13:00:00,French Grand Prix
1060,2021,9,70,2021-07-04,13:00:00,Austrian Grand Prix
1061,2021,10,9,2021-07-18,14:00:00,British Grand Prix
1062,2021,11,11,2021-08-01,13:00:00,Hungarian Grand Prix
1063,2021,12,13,2021-08-29,13:00:00,Belgian Grand Prix
1064,2021,13,39,2021-09-05,13:00:00,Dutch Grand Prix
1065,2021,14,14,2021-09-12,13:00:00,Italian Grand Prix
1066,2021,15,71,2021-09-26,12:00:00,Russian Grand Prix
1067,2021,16,5,2021-10-10,12:00:00,Turkish Grand Prix
1069,2021,17,69,2021-10-24,19:00:00,United States Grand Prix
1070,2021,18,32,2021-11-07,19:00:00,Mexico City Grand Prix
1071,2021,19,18,2021-11-14,17:00:00,S達o Paulo Grand Prix
1072,2021,21,77,2021-12-05,17:30:00,Saudi Arabian Grand Prix
1073,2021,22,24,2021-12-12,13:00:00,Abu Dhabi Grand Prix
1075,2022,2,77,2022-03-27,17:00:00,Saudi Arabian Grand Prix
1076,2022,3,1,2022-04-10,05:00:00,Australian Grand Prix
1077,2022,4,21,2022-04-24,13:00:00,Emilia Romagna Grand Prix
1078,2022,5,79,2022-05-08,19:30:00,Miami Grand Prix
1079,2022,6,4,2022-05-22,13:00:00,Spanish Grand Prix
1080,2022,7,6,2022-05-29,13:00:00,Monaco Grand Prix
1081,2022,8,73,2022-06-12,11:00:00,Azerbaijan Grand Prix
1082,2022,9,7,2022-06-19,18:00:00,Canadian Grand Prix
1083,2022,10,9,2022-07-03,14:00:00,British Grand Prix
1084,2022,11,70,2022-07-10,13:00:00,Austrian Grand Prix
1085,2022,12,34,2022-07-24,13:00:00,French Grand Prix
1086,2022,13,11,2022-07-31,13:00:00,Hungarian Grand Prix
1087,2022,14,13,2022-08-28,13:00:00,Belgian Grand Prix
1088,2022,15,39,2022-09-04,13:00:00,Dutch Grand Prix
1089,2022,16,14,2022-09-11,13:00:00,Italian Grand Prix
1091,2022,17,15,2022-10-02,12:00:00,Singapore Grand Prix
1092,2022,18,22,2022-10-09,05:00:00,Japanese Grand Prix
1093,2022,19,69,2022-10-23,19:00:00,United States Grand Prix
1094,2022,20,32,2022-10-30,20:00:00,Mexico City Grand Prix
1095,2022,21,18,2022-11-13,18:00:00,S達o Paulo Grand Prix
1096,2022,22,24,2022-11-20,13:00:00,Abu Dhabi Grand Prix
1098,2023,1,3,2023-03-05,15:00:00,Bahrain Grand Prix
1099,2023,2,77,2023-03-19,17:00:00,Saudi Arabian Grand Prix
1100,2023,3,1,2023-04-02,05:00:00,Australian Grand Prix
1101,2023,4,73,2023-04-30,11:00:00,Azerbaijan Grand Prix
1102,2023,5,79,2023-05-07,19:30:00,Miami Grand Prix
1104,2023,6,6,2023-05-28,13:00:00,Monaco Grand Prix
1105,2023,7,4,2023-06-04,13:00:00,Spanish Grand Prix
1106,2023,8,7,2023-06-18,18:00:00,Canadian Grand Prix
1107,2023,9,70,2023-07-02,13:00:00,Austrian Grand Prix
1108,2023,10,9,2023-07-09,14:00:00,British Grand Prix
1109,2023,11,11,2023-07-23,13:00:00,Hungarian Grand Prix
1110,2023,12,13,2023-07-30,13:00:00,Belgian Grand Prix
1111,2023,13,39,2023-08-27,13:00:00,Dutch Grand Prix
1112,2023,14,14,2023-09-03,13:00:00,Italian Grand Prix
1113,2023,15,15,2023-09-17,12:00:00,Singapore Grand Prix
1114,2023,16,22,2023-09-24,05:00:00,Japanese Grand Prix
1115,2023,17,78,2023-10-08,17:00:00,Qatar Grand Prix
1116,2023,18,69,2023-10-22,19:00:00,United States Grand Prix
1117,2023,19,32,2023-10-29,20:00:00,Mexico City Grand Prix
1118,2023,20,18,2023-11-05,17:00:00,S達o Paulo Grand Prix
1119,2023,21,80,2023-11-19,06:00:00,Las Vegas Grand Prix
1120,2023,22,24,2023-11-26,13:00:00,Abu Dhabi Grand Prix
1121,2024,1,3,2024-03-02,15:00:00,Bahrain Grand Prix
1122,2024,2,77,2024-03-09,17:00:00,Saudi Arabian Grand Prix
1123,2024,3,1,2024-03-24,04:00:00,Australian Grand Prix
1124,2024,4,22,2024-04-07,05:00:00,Japanese Grand Prix
1125,2024,5,17,2024-04-21,07:00:00,Chinese Grand Prix
1126,2024,6,79,2024-05-05,20:00:00,Miami Grand Prix
1127,2024,7,21,2024-05-19,13:00:00,Emilia Romagna Grand Prix
1128,2024,8,6,2024-05-26,13:00:00,Monaco Grand Prix
1129,2024,9,7,2024-06-09,18:00:00,Canadian Grand Prix
1130,2024,10,4,2024-06-23,13:00:00,Spanish Grand Prix
1131,2024,11,70,2024-06-30,13:00:00,Austrian Grand Prix
1132,2024,12,9,2024-07-07,14:00:00,British Grand Prix
1133,2024,13,11,2024-07-21,13:00:00,Hungarian Grand Prix
1134,2024,14,13,2024-07-28,13:00:00,Belgian Grand Prix
1135,2024,15,39,2024-08-25,13:00:00,Dutch Grand Prix
1136,2024,16,14,2024-09-01,13:00:00,Italian Grand Prix
1137,2024,17,73,2024-09-15,11:00:00,Azerbaijan Grand Prix
1138,2024,18,15,2024-09-22,12:00:00,Singapore Grand Prix
1139,2024,19,69,2024-10-20,19:00:00,United States Grand Prix
1140,2024,20,32,2024-10-27,20:00:00,Mexico City Grand Prix
1141,2024,21,18,2024-11-03,17:00:00,S達o Paulo Grand Prix
1142,2024,22,80,2024-11-23,06:00:00,Las Vegas Grand Prix
1143,2024,23,78,2024-12-01,17:00:00,Qatar Grand Prix
1144,2024,24,24,2024-12-08,13:00:00,Abu Dhabi Grand Prix
